# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 15:17:03.770
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011049,-0.0360,-0.7180,0.7650,1.05
0.028002,-0.0040,-0.5640,1.0690,1.21
0.028317,0.1610,-0.6240,0.9590,1.16
0.041254,0.1610,-0.6240,0.9590,1.16
0.051291,0.2760,-0.5760,0.6300,0.90
0.075983,0.1870,-0.4690,0.3200,0.60
0.076665,0.0490,-0.3940,0.0350,0.40
0.077298,0.0490,-0.3940,0.0350,0.40
0.091523,-0.0150,-0.3560,-0.1380,0.38
0.106782,-0.2020,-0.3470,-0.2420,0.47
0.107598,-0.2020,-0.3470,-0.2420,0.47
0.121540,-0.1890,-0.2870,-0.2700,0.44
0.136759,-0.2070,-0.3010,-0.2100,0.42
0.137065,-0.2160,-0.3130,-0.0610,0.39
0.149513,-0.1810,-0.3570,0.1450,0.43
0.158748,-0.0380,-0.4270,0.2500,0.50
0.169138,0.0330,-0.5370,0.4170,0.68
0.183581,0.0890,-0.5870,0.5190,0.79
0.189980,0.0760,-0.6510,0.5430,0.85
0.198007,-0.0300,-0.6180,0.3800,0.73
0.210304,-0.2970,-0.4880,0.0560,0.57
0.221871,-0.7620,-0.2020,-0.3850,0.88
0.233326,-1.1830,0.0490,-0.7840,1.42
0.237672,-1.5570,0.3050,-0.9910,1.87
0.247541,-1.8100,0.5840,-1.1890,2.24
0.257766,-2.0290,0.9170,-1.5280,2.70
0.267835,-1.9650,1.0800,-1.7270,2.83
0.280459,-1.8280,1.1690,-1.7390,2.78
0.287815,-1.4670,1.0910,-1.5710,2.41
0.297884,-1.0050,0.8490,-1.2770,1.83
0.313528,-0.6950,0.6480,-0.9090,1.31
0.317984,-0.6730,0.5190,-0.4430,0.96
0.335407,-0.7710,0.3270,0.0270,0.84
0.338010,-0.8970,0.0880,0.3580,0.97
0.352827,-1.1350,-0.0440,0.6840,1.33
0.368504,-1.4990,-0.0880,0.9370,1.77
0.368937,-1.6990,-0.1310,1.0320,1.99
0.381020,-1.6700,-0.1650,0.9720,1.94
