accx,accy,accz
-0.104,0.083,-0.065
-0.104,0.083,-0.065
-0.107,0.102,-0.132
-0.143,0.107,-0.144
-0.143,0.113,-0.082
-0.159,0.027,-0.01
-0.159,0.027,-0.01
-0.151,0.02,-0.017
-0.165,0.018,-0.017
-0.184,0.032,0.016
-0.162,0.052,0.035
-0.178,0.078,0.037
-0.214,0.129,0.076
-0.214,0.129,0.076
-0.178,0.095,0.085
-0.216,0.075,0.08
-0.216,0.075,0.08
-0.193,0.075,-0.01
-0.193,0.075,-0.01
-0.181,0.096,0.018
-0.164,0.082,0.054
-0.164,0.082,0.054
-0.202,-0.039,0.085
-0.19,-0.03,0.071
-0.19,-0.03,0.071
-0.189,0.005,-0.021
-0.189,0.005,-0.021
-0.173,0.062,0
-0.182,0.1,-0.066
-0.146,0.081,-0.107
-0.158,0.02,-0.08
-0.158,0.02,-0.08
-0.172,-0.087,-0.03
-0.172,-0.087,-0.03
-0.189,-0.054,-0.085
-0.165,0.007,-0.133
-0.165,0.007,-0.133
-0.212,0.117,-0.109
-0.212,0.117,-0.109
-0.217,0.134,-0.126
-0.26,0.064,-0.059
-0.26,0.064,-0.059
-0.251,0.026,-0.086
-0.23,0.019,-0.021
-0.23,0.019,-0.021
-0.211,0.038,0.09
-0.211,0.038,0.09
-0.163,0.057,0.052
-0.163,0.057,0.052
-0.149,0.083,0.031
-0.201,0.078,-0.028
-0.201,0.078,-0.028
-0.206,0.055,0.064
-0.206,0.055,0.064
-0.144,0.038,0.086
-0.122,0.072,-0.155
-0.122,0.072,-0.155
-0.131,0.134,-0.15
-0.131,0.134,-0.15
-0.128,0.115,-0.086
-0.128,0.084,-0.029
-0.117,0.007,-0.07
-0.136,0.031,-0.053
-0.167,0.06,-0.051
-0.157,0.068,-0.02
-0.183,0.073,0.07
-0.205,0.063,0.123
-0.202,0.018,0.199
-0.18,-0.008,0.199
-0.18,-0.008,0.199
-0.213,0.022,0.104
-0.233,0.036,0.128
-0.24,0.081,0.109
-0.245,0.091,0.018
-0.211,0.108,-0.016
-0.213,0.093,-0.016
-0.309,0.115,-0.074
-0.275,0.122,-0.05
-0.254,0.069,-0.052
-0.23,0.081,-0.045
-0.239,0.098,-0.04
-0.228,0.072,-0.091
-0.24,0.077,-0.091
-0.269,0.053,-0.01
-0.25,0.041,-0.01
-0.234,0.025,0
-0.208,-0.012,-0.029
-0.236,0.004,-0.024
-0.213,-0.002,0.001
-0.196,-0.029,-0.036
-0.237,-0.036,-0.136
-0.214,-0.009,-0.177
-0.23,0.004,-0.186
-0.235,0.023,-0.148
-0.164,0.027,-0.143
-0.195,0.022,-0.109
-0.209,-0.008,-0.001
-0.21,-0.066,0.01
-0.232,-0.068,0.003
-0.217,-0.092,-0.056
-0.191,-0.059,-0.032
-0.213,-0.023,0.014
-0.201,0.016,0.074
-0.22,-0.002,0.019
-0.248,-0.004,0.026
-0.261,0.023,0.069
-0.259,-0.038,0.047
-0.264,-0.016,-0.012
-0.216,0.019,0.013
-0.269,0.062,-0.019
-0.194,0.09,-0.005
-0.201,0.172,-0.069
-0.163,0.203,-0.079
-0.186,0.2,-0.071
-0.208,0.156,-0.052
-0.198,0.149,0.019
-0.202,0.086,0.029
-0.202,0.086,0.029
-0.151,0.088,0.053
-0.194,0.084,0.086
-0.148,0.086,0.082
-0.174,0.103,0.12
-0.109,0.084,0.18
-0.171,0.079,0.141
-0.156,0.048,0.072
-0.166,0.05,0
-0.161,0.07,-0.004
-0.142,0.111,-0.013
-0.171,0.104,-0.004
-0.142,0.097,0.004
-0.173,0.054,0.047
-0.176,0.035,0.026
-0.192,0.002,0.011
-0.217,0.021,0.028
-0.217,0.021,0.028
-0.185,0.064,0.035
-0.219,0.033,0.071
-0.221,0.057,0.033
-0.203,0.036,-0.04
-0.203,0.036,-0.04
