accx,accy,accz
-0.207,0.203,-0.033
-0.207,0.203,-0.033
-0.178,0.123,0.119
-0.103,0.004,0.309
-0.103,0.004,0.309
0.149,0.016,-0.086
0.243,0.019,-0.275
0.293,-0.024,-0.423
0.164,-0.036,-0.37
0.164,-0.036,-0.37
0.164,-0.036,-0.37
-0.16,0.034,-0.159
-0.069,0.06,-0.097
-0.069,0.06,-0.097
0.054,0.033,0.129
0.054,0.033,0.129
-0.028,0.063,0.012
-0.121,0.044,-0.018
-0.121,0.044,-0.018
-0.247,0.06,0.106
-0.067,0.038,0.061
-0.067,0.038,0.061
0.188,0.147,0.075
0.296,0.101,0.006
0.285,0.154,-0.103
0.193,0.169,-0.197
0.193,0.169,-0.197
-0.162,0.183,-0.221
-0.162,0.183,-0.221
-0.428,0.124,-0.183
-0.499,0.154,-0.127
-0.499,0.154,-0.127
-0.415,0.187,0.146
-0.244,0.137,0.277
-0.218,0.16,0.46
-0.154,0.268,0.521
-0.154,0.268,0.521
-0.02,0.273,0.51
0.163,0.156,0.562
0.163,0.156,0.562
0.228,-0.047,0.365
0.348,-0.086,0.261
0.411,0.024,0.118
0.517,0.121,0.035
0.726,0.115,0.034
1.139,-0.055,-0.12
1.592,-0.301,-0.033
1.259,-0.386,0.098
1.388,-0.414,0.725
1.147,-0.389,1.297
-0.278,0.386,2.625
0.043,0.348,2.503
0.224,0.18,2.007
0.813,-0.007,1.537
1.474,-0.412,1.241
2.001,-1.109,0.973
1.973,-0.672,0.438
1.964,-0.712,-0.044
2.177,-1.033,0.158
2.03,-1.307,0.355
2.193,-1.461,0.325
2.354,-1.546,0.498
2.142,-1.853,0.061
1.844,-1.82,-0.326
1.47,-1.637,-0.527
1.118,-1.491,-0.455
0.842,-1.641,0.034
0.439,-1.847,0.888
-0.868,-2.475,1.577
-0.868,-2.475,1.577
-1.18,-2.408,2.046
-1.18,-2.408,2.046
-2.841,-1.16,1.011
-2.993,-0.382,0.246
-2.993,-0.382,0.246
-1.993,-1.306,0.228
-1.995,-1.596,-0.181
-2.26,-1.469,-0.228
-2.689,-1.031,-0.244
-2.689,-1.031,-0.244
-3.226,-0.303,-0.828
-3.408,0.515,-1.608
-3.313,1.803,-3.013
-3.313,1.803,-3.013
-3.365,2.306,-3.542
-2.934,2.483,-4.393
-2.934,2.483,-4.393
