accx,accy,accz
0.059,0.661,-2.999
0.059,0.788,-2.604
0.051,0.878,-2.117
0.082,0.926,-1.598
0.069,1.063,-0.472
0.069,1.063,-0.472
0.175,1.142,0.031
0.279,1.121,0.581
0.359,1.108,1.193
0.359,1.108,1.193
0.39,0.984,2.317
0.383,0.921,2.783
0.414,0.94,3.497
0.414,0.94,3.497
0.673,0.714,4.276
0.777,0.621,4.448
0.906,0.614,4.67
0.906,0.614,4.67
1.051,0.492,4.812
1.366,0.168,4.69
1.484,-0.003,4.578
1.511,-0.115,4.394
1.53,-0.195,4.238
1.53,-0.195,4.238
1.982,-0.55,3.74
2.253,-0.714,3.536
2.366,-0.847,3.168
2.366,-0.847,3.168
2.381,-0.907,2.911
2.065,-1.049,2.159
1.824,-1.126,1.735
1.534,-1.265,0.864
1.534,-1.265,0.864
1.162,-0.921,0.134
0.736,-0.514,-1.144
0.625,-0.368,-1.73
0.558,-0.171,-2.281
0.57,0.007,-2.775
0.681,0.059,-3.201
0.873,0.048,-3.571
1.01,-0.028,-3.75
0.992,-0.1,-3.715
0.941,-0.246,-3.973
0.941,-0.246,-3.973
0.788,-0.709,-3.813
0.512,-0.673,-3.955
0.242,-0.746,-4.08
0.066,-0.885,-4.218
-0.13,-0.986,-4.375
-0.298,-0.998,-4.453
-0.399,-0.964,-4.57
-0.54,-0.922,-4.732
-0.627,-0.843,-4.783
-0.764,-0.719,-4.722
-0.832,-0.653,-4.748
-1.013,-0.522,-4.476
-1.214,-0.636,-4.306
-1.399,-0.751,-4.331
-1.619,-0.373,-4.202
-1.72,0.009,-4.179
-1.726,0.17,-3.826
-1.812,0.28,-3.381
-1.812,0.28,-3.381
-1.918,0.45,-1.933
-1.716,0.587,-1.315
-1.253,0.859,-0.9
-1.486,0.977,-0.527
-1.695,1.044,-0.007
-1.297,0.799,0.496
-0.774,0.545,1.652
-0.656,0.683,3.282
-0.63,0.661,3.622
-0.523,0.546,4.963
-0.394,0.183,6.143
-0.448,-0.225,6.9
-0.981,-0.172,7.029
-1.952,0.19,6.798
-1.952,0.19,6.798
-2.957,0.66,5.718
-3.263,1.197,5.166
-3.208,1.582,4.718
-2.731,1.651,4.489
-1.923,1.43,4.366
-0.758,1.055,4.194
0.109,0.802,3.971
0.621,0.464,3.771
0.902,-0.041,3.224
0.902,-0.041,3.224
-0.005,-0.613,1.264
-0.933,-0.4,0.576
-1.691,-0.367,-0.34
-2.119,-0.514,-1.392
-2.337,-0.421,-2.196
-2.382,-0.304,-2.878
-2.034,-0.27,-3.433
-1.454,-0.433,-3.986
-0.687,-0.563,-4.425
-0.199,-0.71,-4.84
