accx,accy,accz
-1.316,0.69,-2.297
-1.155,0.685,-2.064
-0.983,0.631,-1.769
-0.835,0.577,-1.459
-0.724,0.454,-1.113
-0.614,0.366,-0.648
-0.559,0.279,-0.175
-0.549,0.248,0.336
-0.578,0.181,0.686
-0.639,0.117,1.109
-0.658,0.113,1.396
-0.686,0.177,1.538
-0.774,0.336,1.628
-0.732,0.445,1.604
-0.698,0.515,1.586
-0.661,0.589,1.48
-0.53,0.607,1.373
-0.427,0.612,1.263
-0.224,0.611,1.145
-0.091,0.618,1.011
-0.191,0.708,0.92
-0.522,0.949,1.017
-0.901,1.008,1.119
-0.967,0.794,1.275
-0.822,0.374,1.495
-0.63,0.018,1.797
-0.495,-0.263,2.237
-0.294,-0.56,2.666
-0.052,-0.983,2.715
0.029,-1.501,2.998
-0.015,-1.875,2.965
-0.583,-1.845,2.644
-1.371,-1.669,2.148
-1.801,-1.724,1.71
-1.95,-1.783,1.287
-2.132,-1.465,0.649
-2.279,-1.156,0.198
-1.857,-1.067,-0.134
-1.857,-1.067,-0.134
-1.264,-1.063,-0.329
-0.763,-1.24,-0.079
-0.763,-1.24,-0.079
-0.173,-1.497,0.301
-0.013,-1.538,0.304
0.221,-1.544,0.173
0.276,-1.496,-0.031
0.315,-1.384,-0.476
0.305,-1.27,-0.953
0.328,-1.131,-1.465
0.384,-1.025,-1.992
0.4,-0.902,-2.586
0.413,-0.775,-3.016
0.365,-0.627,-3.387
0.414,-0.322,-4.098
0.414,-0.322,-4.098
0.45,0.063,-4.525
0.45,0.063,-4.525
0.266,0.435,-4.67
0.168,0.613,-4.712
0.168,0.613,-4.712
0.254,0.929,-4.55
0.254,0.929,-4.55
0.351,1.048,-4.226
0.349,1.083,-3.996
0.349,1.083,-3.996
0.328,1.031,-3.491
0.328,1.031,-3.491
0.353,0.903,-3.107
0.341,0.763,-2.803
0.288,0.746,-2.5
0.206,0.718,-2.23
-0.038,0.769,-1.821
-0.207,0.798,-1.492
-0.316,0.761,-1.161
-0.409,0.752,-0.796
-0.317,0.645,-0.426
-0.024,0.389,0.059
0.345,0.144,0.826
0.68,-0.075,1.472
0.931,-0.193,1.987
1.003,-0.332,2.458
0.773,-0.119,3.002
0.441,0.109,3.692
0.577,-0.119,4.395
0.892,-0.444,4.938
1.213,-0.627,5.317
1.648,-0.751,5.42
2.041,-0.944,5.567
2.38,-1.181,5.701
