accx,accy,accz
0.046,-1.608,-0.824
0.046,-1.608,-0.824
-0.144,-1.527,-1.085
-0.144,-1.527,-1.085
-0.226,-1.32,-1.791
-0.187,-1.2,-2.016
-0.062,-1.077,-2.433
0.032,-0.929,-2.754
0.003,-0.728,-3.043
-0.072,-0.497,-3.215
-0.148,-0.265,-3.4
-0.148,-0.265,-3.4
-0.129,-0.13,-3.363
-0.133,0.11,-3.144
-0.133,0.11,-3.144
-0.094,0.197,-2.872
-0.051,0.285,-2.625
0.045,0.478,-2.082
0.105,0.56,-1.951
0.105,0.56,-1.951
0.288,0.736,-1.775
0.288,0.736,-1.775
0.565,0.777,-1.647
0.565,0.777,-1.647
0.654,0.746,-1.521
0.576,0.736,-0.907
0.576,0.736,-0.907
0.384,0.794,-0.606
0.197,0.861,-0.226
0.165,0.817,-0.06
0.311,0.807,0.187
0.487,0.792,0.492
0.675,0.776,0.791
0.892,0.605,0.96
1.215,0.26,1.25
1.378,0.035,1.593
1.243,0.049,1.77
0.898,0.206,1.921
0.687,0.408,2.181
0.547,0.436,2.367
0.72,0.163,2.531
1.056,-0.177,2.761
1.323,-0.307,2.874
1.541,-0.269,3.085
1.839,-0.401,3.456
2.324,-0.935,3.822
2.486,-1.443,3.948
2.355,-1.669,3.996
1.95,-1.717,3.673
1.259,-1.602,3.099
0.647,-1.456,2.26
0.264,-1.351,1.441
0.043,-1.09,0.477
-0.138,-0.782,-0.425
-0.128,-0.596,-1.242
-0.007,-0.398,-1.784
0.187,-0.154,-2.224
0.543,-0.093,-2.542
0.802,-0.133,-2.645
1.001,-0.257,-2.617
0.956,-0.303,-2.506
0.702,-0.401,-2.235
0.373,-0.513,-1.984
0.012,-0.603,-1.83
-0.304,-0.662,-1.757
-0.632,-0.556,-1.83
-0.915,-0.426,-2.029
-0.984,-0.363,-2.33
-1.02,-0.246,-2.671
-1.085,-0.061,-2.98
-1.203,0.138,-3.343
-1.293,0.267,-3.633
-1.336,0.394,-3.824
-1.454,0.536,-3.785
-1.541,0.565,-3.674
-1.543,0.536,-3.527
-1.532,0.611,-3.419
-1.507,0.66,-3.211
-1.413,0.695,-2.99
-1.319,0.731,-2.711
-1.214,0.707,-2.425
-1.16,0.673,-2.208
-1.045,0.652,-1.946
-1.009,0.612,-1.639
-0.899,0.534,-1.355
-0.742,0.378,-1.003
-0.763,0.306,-0.611
-0.917,0.264,-0.246
-1.12,0.304,0.21
-1.35,0.329,0.604
-1.484,0.302,1.031
-1.503,0.306,1.407
-1.537,0.448,1.744
-1.467,0.438,1.863
-1.198,0.4,2.024
-0.935,0.409,2.143
-0.753,0.359,2.216
-0.473,0.266,2.261
-0.382,0.175,2.152
-0.525,0.27,1.891
-0.94,0.601,1.657
-1.245,0.702,1.51
-1.233,0.582,1.506
-1.146,0.28,1.223
-1.024,0.052,1.178
-0.843,-0.17,1.427
-0.6,-0.491,2.064
-0.156,-0.923,2.63
0.103,-1.312,2.635
0.263,-1.777,2.748
0.026,-1.864,2.722
-0.558,-1.834,2.317
-1.106,-1.744,1.58
-1.364,-1.736,0.932
-1.606,-1.545,0.33
-1.95,-1.137,-0.403
-2.038,-0.796,-1.036
-1.875,-0.65,-1.459
-1.637,-0.562,-1.563
-1.241,-0.69,-1.504
-0.711,-0.854,-1.277
-0.29,-1.043,-0.909
0.016,-1.101,-0.533
0.269,-1.241,-0.227
0.439,-1.283,-0.112
0.37,-1.233,-0.217
0.209,-1.138,-0.605
0.036,-1.051,-1.075
-0.029,-0.902,-1.539
-0.018,-0.794,-2.009
0.014,-0.578,-2.582
0.011,-0.393,-3.001
0.032,-0.262,-3.203
0.109,-0.051,-3.329
0.227,0.117,-3.332
0.338,0.166,-3.29
0.509,0.208,-3.116
0.54,0.404,-2.925
0.445,0.518,-2.764
0.467,0.567,-2.689
0.48,0.567,-2.566
0.439,0.64,-2.429
0.427,0.675,-2.268
0.493,0.691,-2.147
0.58,0.653,-2.072
0.605,0.67,-1.951
0.68,0.663,-1.611
0.68,0.663,-1.611
0.57,0.479,-1.306
0.57,0.479,-1.306
0.4,0.486,-1.077
-0.061,0.632,-0.673
-0.061,0.632,-0.673
-0.011,0.667,-0.396
-0.05,0.577,-0.327
-0.038,0.509,-0.123
0.041,0.412,0.053
0.224,0.309,0.365
0.795,-0.326,1.009
0.795,-0.326,1.009
0.653,-0.489,1.542
0.172,-0.228,1.779
-0.37,0.028,1.986
-0.441,-0.059,2.47
-0.02,-0.376,3.048
0.67,-0.706,3.609
1.107,-0.573,3.886
1.594,-0.504,4.261
2.173,-0.849,4.772
2.525,-1.299,4.967
2.401,-1.558,4.905
2.029,-1.686,4.567
1.458,-1.54,3.926
0.899,-1.217,3.029
0.689,-0.995,2.208
0.47,-0.644,1.115
0.38,-0.334,0.255
0.422,-0.112,-0.504
0.529,0.165,-1.296
0.706,0.352,-2.027
0.917,0.451,-2.504
1.08,0.401,-2.621
1.27,0.23,-2.531
1.428,0.005,-2.286
1.465,-0.165,-1.934
1.346,-0.383,-1.521
1.02,-0.558,-1.156
0.657,-0.749,-0.981
0.198,-0.807,-1.02
-0.237,-0.882,-1.255
-0.649,-0.879,-1.687
-0.855,-0.79,-2.243
-1.028,-0.739,-2.739
-1.141,-0.484,-3.342
-1.287,-0.209,-3.931
-1.38,0.017,-4.347
-1.382,0.158,-4.634
-1.358,0.241,-4.769
-1.363,0.402,-4.832
-1.361,0.53,-4.697
-1.311,0.665,-4.388
-1.202,0.787,-4.109
-0.962,0.878,-3.771
-0.728,0.922,-3.444
-0.496,0.92,-3.187
-0.288,0.881,-2.951
-0.22,0.807,-2.665
-0.207,0.616,-2.397
-0.288,0.474,-2.095
-0.399,0.337,-1.643
-0.57,0.184,-1.218
-0.836,0.051,-0.708
-1.172,0.183,-0.356
-1.486,0.256,0.024
-1.636,0.253,0.391
-1.68,0.282,0.653
-1.704,0.375,0.902
-1.654,0.476,1.158
-1.518,0.492,1.43
-1.286,0.398,1.751
-0.999,0.243,2.032
-0.685,0.054,2.348
-0.519,0.02,2.545
-0.487,0.025,2.731
-0.704,0.231,2.707
-1.203,0.571,2.574
-1.203,0.571,2.574
-1.511,0.564,2.613
-1.324,0.466,2.636
-1.139,0.45,2.831
-0.848,0.352,3.293
-0.366,0.077,3.709
-0.064,-0.273,3.826
0.248,-0.727,4.203
0.37,-1.142,4.271
0.162,-1.315,3.948
-0.389,-1.302,3.066
-1.057,-1.154,1.942
-1.388,-1.139,1.229
-1.705,-0.834,0.249
-2.006,-0.413,-0.667
-2.023,-0.212,-1.392
-1.81,-0.094,-1.827
