accx,accy,accz
-0.023,0.008,0.136
-0.023,0.008,0.136
-0.076,-0.018,0.169
-0.11,-0.019,0.178
-0.11,-0.019,0.178
-0.033,-0.047,0.215
-0.033,-0.047,0.215
-0.053,-0.059,0.187
-0.14,0.007,0.131
-0.14,0.007,0.131
-0.156,0.039,0.047
-0.136,-0.013,0.024
-0.075,0.005,0.078
-0.049,0.005,0.163
-0.054,-0.019,0.227
-0.054,-0.019,0.227
-0.108,-0.088,0.392
-0.108,-0.088,0.392
-0.163,-0.115,0.399
-0.129,-0.108,0.337
-0.097,-0.073,0.316
-0.078,-0.071,0.275
-0.063,-0.071,0.292
-0.087,-0.069,0.296
-0.089,-0.074,0.287
-0.118,-0.059,0.232
-0.132,-0.057,0.141
-0.111,-0.064,0.004
-0.111,-0.064,0.004
-0.132,-0.015,-0.064
-0.097,-0.03,0.031
-0.121,-0.049,0.131
-0.098,-0.049,0.222
-0.076,-0.09,0.33
-0.098,-0.092,0.354
-0.09,-0.087,0.285
-0.075,-0.085,0.241
-0.109,-0.078,0.179
-0.107,-0.059,0.167
-0.099,-0.064,0.16
-0.09,-0.097,0.184
-0.08,-0.087,0.215
-0.111,-0.065,0.314
-0.108,-0.081,0.378
-0.108,-0.081,0.378
-0.149,-0.064,0.39
-0.149,-0.064,0.39
-0.056,-0.018,0.262
-0.07,-0.02,0.207
-0.07,-0.02,0.207
-0.014,-0.023,0.247
-0.014,-0.023,0.247
-0.033,-0.022,0.355
0.001,-0.022,0.264
0.001,-0.022,0.264
-0.055,-0.014,0.26
-0.055,-0.014,0.26
-0.07,-0.029,0.207
-0.011,-0.073,0.128
-0.011,-0.073,0.128
-0.049,-0.144,0.151
-0.049,-0.144,0.151
-0.142,-0.082,0.093
-0.201,-0.051,0.053
-0.201,-0.051,0.053
-0.101,-0.095,-0.03
-0.101,-0.095,-0.03
-0.075,-0.086,0.057
-0.115,-0.11,0.229
-0.115,-0.11,0.229
-0.231,-0.173,0.373
-0.231,-0.173,0.373
-0.236,-0.208,0.383
-0.228,-0.185,0.359
-0.228,-0.185,0.359
-0.09,-0.151,0.261
-0.09,-0.151,0.261
-0.137,-0.096,0.215
-0.142,-0.112,0.273
-0.142,-0.112,0.273
-0.151,-0.052,0.194
-0.184,-0.026,0.206
-0.143,-0.002,0.197
-0.143,-0.002,0.197
-0.124,-0.017,0.161
-0.098,-0.044,0.239
-0.091,-0.037,0.27
-0.06,-0.08,0.335
-0.067,-0.097,0.366
-0.067,-0.097,0.366
-0.139,-0.105,0.385
-0.161,-0.069,0.332
-0.154,-0.052,0.316
-0.144,-0.061,0.282
-0.144,-0.061,0.282
-0.121,-0.063,0.249
-0.121,-0.063,0.249
-0.146,-0.093,0.189
-0.194,-0.098,0.213
-0.194,-0.098,0.213
-0.209,-0.148,0.263
-0.192,-0.129,0.273
-0.156,-0.127,0.252
-0.154,-0.12,0.213
-0.154,-0.12,0.213
-0.124,-0.137,0.252
-0.145,-0.111,0.199
-0.112,-0.151,0.194
-0.164,-0.106,0.18
-0.164,-0.106,0.18
-0.104,-0.111,0.148
-0.066,-0.139,0.213
-0.056,-0.165,0.237
-0.077,-0.16,0.221
-0.077,-0.16,0.221
-0.178,-0.068,0.128
-0.175,-0.063,0.089
-0.147,-0.061,0.006
-0.115,-0.051,-0.084
-0.115,-0.051,-0.084
-0.099,-0.101,0.104
-0.137,-0.12,0.319
-0.166,-0.144,0.463
-0.171,-0.164,0.51
-0.171,-0.164,0.51
-0.17,-0.144,0.376
-0.144,-0.109,0.307
-0.108,-0.095,0.268
-0.092,-0.083,0.237
-0.082,-0.086,0.256
-0.065,-0.093,0.306
-0.082,-0.119,0.32
-0.113,-0.078,0.37
-0.182,-0.078,0.329
-0.182,-0.078,0.329
-0.179,-0.039,0.169
-0.173,-0.032,0.145
-0.139,-0.04,0.173
-0.094,-0.071,0.238
-0.094,-0.071,0.238
-0.116,-0.057,0.271
-0.112,-0.086,0.324
-0.172,-0.086,0.302
-0.141,-0.103,0.309
-0.153,-0.063,0.297
-0.133,-0.082,0.214
-0.133,-0.082,0.214
-0.198,-0.107,0.149
-0.196,-0.071,0.161
-0.229,-0.139,0.235
-0.231,-0.151,0.264
-0.224,-0.163,0.262
-0.24,-0.187,0.259
-0.23,-0.169,0.25
-0.209,-0.174,0.185
-0.226,-0.164,0.195
-0.228,-0.15,0.159
-0.211,-0.153,0.139
-0.226,-0.121,0.18
-0.214,-0.169,0.214
-0.18,-0.167,0.183
-0.216,-0.136,0.176
-0.216,-0.093,0.138
-0.247,-0.117,0.145
-0.245,-0.132,0.193
-0.228,-0.139,0.256
-0.204,-0.141,0.349
-0.22,-0.123,0.301
-0.263,-0.104,0.223
-0.215,-0.104,0.189
-0.184,-0.07,0.156
-0.16,-0.025,0.103
-0.144,-0.049,0.119
-0.139,-0.027,0.229
-0.202,-0.102,0.447
-0.224,-0.094,0.49
-0.195,-0.102,0.521
-0.195,-0.102,0.521
-0.117,-0.102,0.451
-0.11,-0.094,0.439
-0.076,-0.085,0.37
-0.053,-0.073,0.231
-0.053,-0.073,0.231
-0.039,-0.054,0.217
-0.061,-0.051,0.229
-0.061,-0.051,0.229
-0.071,-0.052,0.128
-0.097,-0.031,0.066
-0.085,-0.028,0.042
-0.134,-0.054,0.105
-0.143,-0.061,0.14
-0.149,-0.106,0.195
-0.156,-0.082,0.215
-0.142,-0.089,0.255
-0.113,-0.091,0.26
-0.164,-0.094,0.241
-0.155,-0.101,0.212
-0.126,-0.072,0.207
-0.182,-0.099,0.207
-0.141,-0.099,0.222
-0.174,-0.073,0.227
-0.178,-0.066,0.203
-0.142,-0.078,0.165
-0.113,-0.064,0.18
-0.149,-0.086,0.23
-0.151,-0.047,0.256
-0.122,-0.083,0.287
-0.105,-0.05,0.263
-0.079,-0.042,0.215
-0.108,-0.04,0.225
-0.048,-0.042,0.22
-0.07,0.004,0.163
-0.077,0.009,0.144
-0.039,0.026,0.177
-0.048,0.02,0.172
0.022,0.001,0.196
0.024,0.058,0.165
0.019,0.032,0.136
0.026,-0.003,0.186
0.062,-0.029,0.253
0.062,-0.029,0.253
-0.037,-0.048,0.198
-0.037,-0.048,0.198
-0.135,0.013,0.015
-0.123,0.041,-0.008
-0.123,0.041,-0.008
-0.011,0.057,0.02
-0.011,0.031,0.189
-0.054,-0.049,0.316
-0.104,-0.073,0.41
-0.104,-0.073,0.41
-0.135,-0.095,0.431
-0.169,-0.097,0.328
-0.169,-0.097,0.328
-0.066,-0.018,0.221
-0.066,-0.018,0.221
-0.016,0.024,0.063
-0.026,0.027,0.085
-0.071,0.008,0.106
-0.058,-0.017,-0.097
-0.058,-0.017,-0.097
-0.106,-0.038,-0.027
-0.077,-0.035,-0.041
-0.077,-0.035,-0.041
-0.043,-0.032,-0.034
-0.043,-0.032,-0.034
-0.002,-0.01,-0.003
-0.009,-0.017,-0.021
-0.009,-0.017,-0.021
-0.108,-0.023,0.01
-0.108,-0.023,0.01
-0.103,-0.021,-0.084
-0.102,0.007,-0.15
-0.092,-0.01,-0.179
-0.04,-0.007,-0.147
-0.04,-0.007,-0.147
-0.022,-0.035,0.079
-0.068,-0.026,0.127
-0.077,-0.054,0.17
-0.113,-0.059,0.165
-0.113,-0.059,0.165
-0.061,-0.016,0.071
-0.061,-0.062,0.021
-0.043,-0.028,0.028
-0.043,-0.028,0.028
-0.071,-0.038,0.045
-0.097,-0.054,0.136
-0.044,-0.052,0.15
-0.013,-0.066,0.057
-0.019,-0.047,0.073
-0.052,-0.012,0.028
-0.08,-0.012,-0.05
-0.057,-0.068,-0.017
-0.001,-0.078,-0.028
0,-0.109,0.053
-0.044,-0.116,0.066
-0.12,-0.049,0.05
-0.15,-0.071,0.016
-0.12,-0.073,-0.057
-0.084,-0.045,-0.108
-0.037,-0.031,-0.112
-0.017,-0.048,0.011
-0.035,-0.052,0.044
-0.067,-0.057,0.142
-0.094,-0.076,0.199
-0.11,-0.093,0.205
-0.11,-0.067,0.131
-0.097,-0.069,0.088
-0.085,-0.036,0.021
-0.069,-0.022,-0.011
-0.026,-0.029,0.026
-0.035,-0.033,0.05
-0.064,-0.026,0.115
-0.109,-0.066,0.189
