accx,accy,accz
-0.128,0.568,4.463
0.23,0.312,5.425
0.442,0.103,6.165
0.434,0.086,6.829
0.238,0.313,7.217
-0.157,0.814,7.66
-0.119,0.93,7.958
-0.119,0.93,7.958
1.129,0.209,8.326
1.707,0.15,8.596
2.275,-0.042,8.626
2.579,-0.312,8.507
2.366,-0.501,8.226
1.788,-0.451,7.711
1.231,-0.341,6.991
0.82,-0.142,5.92
0.713,-0.002,4.636
0.821,0.149,3.151
0.889,0.394,1.61
0.918,0.576,-0.011
0.996,0.701,-1.681
1.028,0.823,-3.262
0.973,0.922,-4.629
1.03,0.973,-5.879
1.17,0.957,-6.881
1.366,0.835,-7.652
1.475,0.652,-8.105
1.41,0.408,-8.301
1.15,0.134,-8.371
0.702,-0.102,-8.269
0.207,-0.3,-8.112
-0.29,-0.489,-7.955
-0.661,-0.702,-7.852
-0.93,-0.922,-7.894
-1.077,-1.146,-8.082
-1.143,-1.303,-8.24
-1.177,-1.457,-8.397
-1.292,-1.458,-8.432
-1.428,-1.416,-8.324
-1.607,-1.269,-8.102
-1.799,-1.148,-7.773
-1.986,-1.053,-7.3
-2.21,-1.021,-6.536
-2.379,-1.01,-5.643
-2.378,-1.129,-4.781
-2.379,-1.134,-3.856
-2.219,-1.039,-3.199
-2.087,-0.853,-2.719
-1.95,-0.465,-2.292
-1.852,-0.056,-1.724
-1.675,0.256,-0.861
-1.675,0.256,-0.861
-0.709,0.63,1.863
-0.083,1.019,3.128
0.383,1.63,4.396
0.881,2.21,5.817
1.649,2.441,6.862
2.342,2.24,7.628
2.877,1.869,8.121
3.226,1.539,8.38
3.498,1.245,8.204
3.52,0.955,7.955
3.221,0.838,7.476
2.588,0.922,6.903
1.819,0.983,6.438
1.183,0.906,5.999
0.737,0.823,5.427
0.422,0.763,4.72
0.346,0.773,3.852
0.367,0.639,2.817
0.343,0.417,1.791
0.189,0.263,0.743
-0.129,0.143,-0.246
-0.429,0.071,-1.127
-0.429,0.071,-1.127
-0.573,-0.191,-2.225
-0.773,-0.568,-3.364
-0.885,-0.791,-4.008
-1.047,-1.039,-4.974
-1.149,-1.133,-5.37
-1.149,-1.133,-5.37
-1.52,-1.481,-6.536
-1.52,-1.481,-6.536
-1.903,-1.749,-7.45
-2.111,-1.899,-7.838
-2.278,-2.026,-8.142
-2.423,-2.139,-8.407
-2.514,-2.206,-8.611
-2.524,-2.2,-8.803
-2.538,-2.146,-8.916
