accx,accy,accz
0.091,-0.035,-0.022
0.192,-0.079,0.13
0.192,-0.079,0.13
0.163,0,0.082
0.163,0,0.082
0.168,-0.012,0.005
0.156,0,-0.116
0.156,0,-0.116
0.193,0,-0.127
0.193,0,-0.127
0.232,-0.033,-0.007
0.232,-0.033,-0.007
0.227,-0.012,0.076
0.136,-0.002,0.165
0.136,-0.002,0.165
0.141,-0.068,0.17
0.141,-0.068,0.17
0.108,-0.058,0.091
-0.021,-0.042,-0.023
-0.021,-0.042,-0.023
0.024,-0.051,-0.09
0.024,-0.051,-0.09
0.065,-0.075,-0.102
0.139,-0.125,-0.001
0.12,-0.102,0.069
0.108,-0.078,0.096
0.108,-0.078,0.096
0.117,-0.068,0.096
0.067,-0.061,0.094
0.053,-0.058,0.063
0.033,-0.102,-0.013
0.033,-0.102,-0.013
-0.009,-0.071,-0.032
0.033,-0.055,-0.01
0.107,-0.074,-0.017
0.117,-0.084,0.042
0.141,-0.096,0.099
0.12,-0.057,0.092
0.139,-0.031,0.037
0.115,-0.017,-0.001
0.072,0.009,0.015
0.072,0.009,0.015
0.062,0.006,-0.001
0.072,-0.019,0.001
0.077,-0.06,-0.013
0.103,-0.045,0.041
0.103,-0.045,0.041
0.138,-0.026,0.113
0.176,-0.079,0.094
0.145,-0.028,0.006
0.085,-0.025,-0.041
0.085,-0.025,-0.041
0.08,-0.051,-0.082
0.08,-0.07,-0.072
0.08,-0.073,-0.048
0.065,-0.044,-0.051
0.065,-0.044,-0.051
0.039,-0.096,0.149
0.041,-0.11,0.233
0.065,-0.1,0.163
-0.017,-0.079,0.087
-0.043,-0.069,-0.032
-0.017,-0.026,-0.102
0.09,-0.071,-0.102
0.157,-0.029,-0.071
0.129,0.001,-0.076
0.129,0.001,-0.076
0.071,0.024,-0.026
0.111,0.002,-0.067
0.138,-0.04,-0.024
0.162,0,-0.055
0.162,0,-0.055
0.159,-0.015,-0.058
0.164,-0.007,-0.022
0.143,-0.027,-0.01
0.135,-0.05,0.01
0.109,-0.019,-0.039
0.093,-0.043,-0.04
0.066,-0.038,-0.085
0.059,-0.038,-0.052
0.083,-0.06,0.141
0.11,-0.072,0.227
0.11,-0.11,0.237
0.079,-0.059,0.201
-0.008,-0.018,0.091
-0.015,-0.047,-0.035
-0.015,-0.047,-0.035
0.024,-0.046,-0.145
0.043,-0.111,-0.128
0.082,-0.122,-0.032
0.098,-0.118,0.058
0.098,-0.118,0.058
0.089,-0.089,0.208
0.056,-0.122,0.158
0.068,-0.113,0.089
0.059,-0.108,-0.109
0.063,-0.067,-0.104
0.066,-0.043,-0.126
0.107,-0.032,-0.092
0.071,-0.065,-0.009
0.071,-0.043,0.029
0.071,-0.043,0.029
0.038,-0.069,0.132
0.033,-0.104,0.151
0.113,-0.085,0.13
0.113,-0.08,0.123
0.093,-0.035,0.02
0.064,-0.016,-0.046
0.076,-0.016,-0.055
0.061,-0.016,-0.022
0.113,-0.049,0.049
0.121,-0.064,0.117
0.135,-0.059,0.126
0.118,-0.052,0.098
0.109,-0.025,0.014
0.077,-0.052,-0.102
0.086,-0.083,-0.121
0.096,-0.088,-0.14
0.098,-0.095,-0.14
0.095,-0.135,-0.114
0.08,-0.114,0
0.047,-0.112,0.05
0.006,-0.152,0.122
-0.065,-0.145,0.122
-0.084,-0.119,0.041
-0.041,-0.133,0.058
-0.035,-0.14,0.024
-0.042,-0.136,0.034
-0.023,-0.112,-0.01
-0.018,-0.117,0.022
0.003,-0.055,0.063
0.089,-0.108,0.139
0.104,-0.108,0.122
0.085,-0.067,0.094
0.034,-0.015,-0.025
0.022,-0.022,-0.121
0.077,-0.032,-0.126
0.137,-0.054,-0.114
0.185,-0.037,-0.091
0.159,-0.047,-0.029
0.18,-0.018,-0.005
0.146,-0.02,0.006
0.146,-0.02,0.006
0.175,-0.071,0.077
0.151,-0.111,0.029
0.151,-0.111,0.029
-0.006,-0.075,-0.078
-0.006,-0.075,-0.078
0.014,-0.113,0.058
0.077,-0.132,0.123
0.077,-0.132,0.123
0.027,-0.119,0.154
0.017,-0.114,0.166
0.01,-0.133,0.125
0.005,-0.15,0.078
0.005,-0.15,0.078
-0.011,-0.107,0
-0.011,-0.107,0
-0.033,-0.097,-0.05
0.069,-0.114,0.028
0.069,-0.114,0.028
0.086,-0.113,0.112
0.066,-0.121,0.11
0.042,-0.073,0.028
-0.026,-0.076,-0.03
-0.026,-0.076,-0.03
0.114,-0.097,0.045
0.114,-0.097,0.045
0.123,-0.141,0.124
0.123,-0.141,0.124
0.037,-0.043,0.048
0.076,-0.033,-0.064
0.076,-0.033,-0.064
0.109,-0.028,-0.107
0.109,-0.028,-0.107
0.128,-0.035,0.055
0.08,-0.018,0.165
0.08,-0.018,0.165
0.099,-0.052,0.165
0.114,-0.063,-0.026
0.114,-0.063,-0.026
0.087,-0.063,-0.144
0.096,-0.054,-0.144
0.156,-0.069,0.02
0.107,-0.098,0.044
0.033,-0.071,0.053
-0.014,-0.083,0.034
-0.047,-0.1,0.003
-0.04,-0.086,0.024
-0.04,-0.086,0.024
0.012,-0.114,0.132
0.036,-0.095,0.039
0.02,-0.072,0.008
0.017,-0.046,-0.01
0.007,-0.084,-0.041
0.036,-0.072,-0.082
0.041,-0.062,-0.103
0.046,-0.06,-0.074
0.079,-0.041,-0.029
0.079,-0.041,-0.029
0.122,-0.022,-0.017
0.103,-0.005,-0.043
0.101,-0.015,-0.041
0.101,-0.015,-0.041
0.103,-0.008,-0.069
0.11,-0.034,-0.062
0.11,-0.034,-0.062
0.075,-0.02,-0.065
0.082,-0.024,0.013
0.098,-0.053,0.03
0.082,-0.053,0.054
0.072,-0.034,-0.002
0.061,-0.055,0.004
0.09,-0.072,0.078
0.1,-0.055,0.109
0.071,-0.088,0.143
0.013,-0.026,0.116
0.013,-0.026,0.116
0.025,-0.071,-0.01
0.066,-0.05,0.01
0.157,-0.09,0.022
0.159,-0.109,0.056
0.1,-0.063,0.046
0.043,-0.037,-0.025
-0.021,-0.051,-0.054
0.045,-0.08,-0.045
0.057,-0.077,-0.104
0.067,-0.077,-0.052
0.06,-0.049,-0.013
0.096,-0.049,0.017
0.108,-0.068,0.137
0.091,-0.109,0.18
0.03,-0.087,0.13
0.008,-0.073,0.049
0.006,-0.071,-0.079
0.047,-0.033,-0.125
0.124,-0.036,-0.024
0.188,-0.024,0.104
0.189,-0.018,0.193
0.131,-0.01,0.208
-0.002,0.015,0.157
-0.026,0.012,0.057
-0.026,0.012,0.057
0.07,-0.033,-0.105
0.142,-0.054,-0.119
0.161,-0.047,-0.071
0.179,-0.066,-0.045
0.162,-0.064,0.012
0.167,-0.106,0.038
0.102,-0.113,0.131
-0.002,-0.07,-0.011
0.011,-0.074,-0.047
0.028,-0.091,-0.087
0.066,-0.084,-0.092
0.049,-0.072,0.005
0.03,-0.089,0.041
0.016,-0.055,0.085
0.016,-0.055,0.085
0.035,-0.083,0.142
0.043,-0.094,0.099
0.062,-0.092,0.106
0.069,-0.037,-0.005
0.083,-0.011,-0.101
0.066,-0.023,-0.116
0.075,-0.023,-0.084
0.099,-0.033,-0.005
0.145,-0.073,0.106
0.145,-0.073,0.106
0.046,-0.018,0.015
0.108,-0.02,-0.07
0.165,0.003,-0.135
0.182,-0.013,-0.106
0.201,-0.007,-0.053
0.163,-0.007,-0.048
0.129,0.014,0.023
0.098,0.004,0.023
0.072,-0.024,-0.005
0.072,-0.024,-0.005
0.092,-0.038,0.061
0.082,-0.044,0.054
0.075,-0.056,0.108
0.049,-0.094,0.099
-0.003,-0.061,0.027
-0.019,-0.057,-0.004
0.007,-0.097,-0.061
0.035,-0.102,-0.076
0.074,-0.096,-0.081
0.066,-0.096,-0.059
0.086,-0.092,0.048
0.031,-0.094,0.088
0.026,-0.072,0.093
0,-0.06,0.103
0.023,-0.069,0.038
0.031,-0.093,0.014
0.045,-0.075,-0.014
0.031,-0.059,-0.009
0.035,-0.061,0.028
0.088,-0.054,0.048
0.055,-0.063,0.067
0.098,-0.066,0.088
0.098,-0.066,0.088
0.113,-0.05,0.042
0.089,-0.007,-0.012
0.087,0.008,-0.031
0.101,0.029,-0.029
0.101,0.029,-0.029
0.149,0.019,0.025
0.137,-0.023,0.042
0.146,-0.02,0.049
0.117,-0.039,0.023
0.126,-0.048,-0.026
0.126,-0.048,-0.026
0.104,-0.079,-0.067
0.113,-0.078,-0.057
0.113,-0.09,-0.059
0.05,-0.118,-0.004
0.05,-0.118,-0.004
-0.014,-0.108,0.041
-0.011,-0.133,0.038
-0.011,-0.133,0.038
0.005,-0.135,0.043
-0.023,-0.133,0.062
-0.049,-0.127,0.091
-0.036,-0.13,0.11
-0.036,-0.13,0.11
0.028,-0.046,0.184
0.05,-0.042,0.121
0.069,-0.009,0.047
0.088,-0.004,-0.034
0.088,-0.004,-0.034
0.104,0,-0.168
0.104,0,-0.168
0.145,-0.006,-0.189
0.204,-0.008,-0.163
0.219,-0.015,-0.127
0.235,-0.04,-0.048
0.197,-0.035,-0.014
0.178,-0.033,0
0.145,-0.03,-0.04
0.125,-0.016,-0.054
0.068,-0.035,-0.023
0.054,-0.037,0.021
0.039,-0.052,0.105
0.051,-0.09,0.12
0.061,-0.054,0.182
0.069,-0.083,0.189
0.067,-0.076,0.165
0.055,-0.076,0.105
-0.009,-0.092,0.054
-0.009,-0.099,0
-0.016,-0.138,0.03
0.031,-0.138,0.023
0.026,-0.135,-0.01
0.053,-0.123,0.028
0.065,-0.119,0.018
0.062,-0.121,0.007
0.021,-0.137,-0.019
0.021,-0.103,-0.071
-0.019,-0.11,-0.044
-0.041,-0.124,-0.049
-0.05,-0.129,0.003
-0.031,-0.103,0.003
-0.017,-0.125,0.029
0.033,-0.116,0.099
0.052,-0.102,0.106
0.1,-0.08,0.058
0.076,-0.052,0.037
0.037,-0.047,0.039
0.018,-0.038,0.082
0.047,-0.052,0.084
0.078,-0.048,0.094
0.11,-0.067,0.108
0.153,-0.048,0.11
0.144,-0.084,0.069
0.163,-0.081,0.081
0.136,-0.067,-0.002
0.117,-0.076,0.033
0.132,-0.139,-0.047
0.103,-0.095,-0.043
0.036,-0.109,-0.052
0.033,-0.104,0.028
0.038,-0.109,0.095
0.036,-0.133,0.15
-0.014,-0.13,0.176
-0.035,-0.138,0.116
-0.049,-0.133,0.109
-0.052,-0.131,0.04
-0.011,-0.127,-0.014
-0.025,-0.117,-0.029
0.036,-0.117,-0.053
0.075,-0.113,0.028
0.113,-0.113,0.025
0.094,-0.089,0.047
0.056,-0.082,-0.012
0.032,-0.053,-0.077
0.039,-0.033,-0.132
0.085,-0.05,-0.115
0.121,-0.048,-0.112
0.121,-0.048,-0.112
0.142,-0.033,-0.007
0.137,-0.044,0.088
