# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 15:18:15.088
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008691,-0.0300,-0.0410,0.2370,0.24
0.027736,0.0190,-0.0340,0.2460,0.25
0.028409,0.0190,-0.0340,0.2460,0.25
0.041150,-0.0270,-0.0200,0.3210,0.32
0.058887,-0.1010,-0.0630,0.3980,0.42
0.059432,-0.1010,-0.0630,0.3980,0.42
0.078453,-0.1820,-0.0400,0.3000,0.35
0.078971,-0.1100,-0.0280,0.2850,0.31
0.088633,-0.0140,-0.0520,0.1820,0.19
0.107698,0.0380,-0.0240,0.1340,0.14
0.108348,0.0360,0.0620,0.0700,0.10
0.121441,-0.0300,0.0310,0.0430,0.06
0.142424,-0.0400,-0.0430,0.1250,0.14
0.143279,-0.0400,-0.0430,0.1250,0.14
0.164116,-0.0660,-0.0410,0.1200,0.14
0.164770,-0.0660,-0.0410,0.1200,0.14
0.177546,-0.0110,-0.0400,0.2030,0.21
0.178114,-0.0110,-0.0400,0.2030,0.21
0.189717,0.0390,-0.0590,0.2490,0.26
0.200791,-0.0220,-0.0920,0.2990,0.31
0.208441,-0.0410,-0.0530,0.2270,0.24
0.216090,-0.0880,-0.0130,0.1580,0.18
0.230355,-0.0860,-0.0270,0.0710,0.11
0.241333,-0.0380,-0.0130,-0.0020,0.04
0.246179,-0.0360,-0.0150,0.0090,0.04
0.265392,-0.0240,-0.0050,0.0450,0.05
0.265855,-0.0240,-0.0050,0.0450,0.05
0.278081,-0.0500,-0.0270,0.1830,0.19
0.292701,-0.0670,-0.0910,0.4370,0.45
0.299527,-0.0290,-0.0930,0.4850,0.49
0.308605,-0.0430,-0.1170,0.4800,0.50
0.316320,-0.0310,-0.0810,0.4370,0.45
0.329886,0.0020,-0.0980,0.3170,0.33
0.342222,-0.0090,-0.0700,0.2810,0.29
0.349856,0.0000,-0.0560,0.2190,0.23
0.358175,0.0210,-0.0220,0.2520,0.25
0.366164,0.0230,-0.0080,0.2450,0.25
0.376015,0.0000,0.0440,0.1370,0.14
0.392684,-0.0210,0.0350,0.0180,0.04
0.401787,-0.0210,0.0640,-0.0380,0.08
0.411404,-0.0620,0.0900,-0.0740,0.13
0.416402,-0.0590,0.1040,-0.0570,0.13
0.427552,-0.0590,0.1040,-0.0570,0.13
0.442876,-0.0500,0.0390,0.0860,0.11
0.446229,-0.0690,0.0000,0.1600,0.17
0.458623,-0.0930,-0.0270,0.2460,0.26
0.466516,-0.0820,-0.0150,0.3140,0.32
0.476078,-0.0820,-0.0150,0.3140,0.32
0.491695,-0.0870,-0.0300,0.2510,0.27
0.496300,-0.0660,-0.0520,0.2660,0.28
0.508170,-0.1050,-0.0620,0.2540,0.28
0.516988,-0.1260,-0.0210,0.2230,0.26
0.527036,-0.1690,-0.0020,0.2800,0.33
0.544134,-0.1830,-0.0550,0.2830,0.34
0.546353,-0.2140,-0.0220,0.2350,0.32
0.561020,-0.2140,-0.0220,0.2350,0.32
0.566449,-0.1280,-0.0580,0.2400,0.28
0.579436,-0.1280,-0.0350,0.1680,0.21
0.592192,-0.1280,-0.0350,0.1680,0.21
0.599404,-0.1830,-0.0280,0.1810,0.26
0.608547,-0.1830,-0.0280,0.1810,0.26
0.624253,-0.0830,-0.0230,0.3050,0.32
0.626086,-0.0380,0.0020,0.3300,0.33
0.642006,0.0010,-0.0090,0.3300,0.33
0.649646,0.0700,0.0070,0.3060,0.31
0.659772,0.0700,0.0070,0.3060,0.31
0.666700,0.0100,0.0390,0.2510,0.25
0.676583,0.0100,0.0390,0.2510,0.25
0.692204,-0.0060,0.0340,0.1910,0.19
0.696378,-0.0440,0.0060,0.0880,0.10
0.709022,-0.0710,0.0560,0.2000,0.22
0.717026,-0.0470,0.0610,0.2000,0.21
0.726622,-0.0230,0.0180,0.1900,0.19
0.741837,-0.0030,-0.0600,0.3620,0.37
0.746729,-0.0290,-0.0530,0.2710,0.28
0.758393,-0.1180,-0.0500,0.1400,0.19
0.767366,-0.2220,-0.0570,0.1350,0.27
0.776139,-0.2560,-0.0260,0.0000,0.26
0.792031,-0.2250,-0.0460,0.0000,0.23
0.796354,-0.1840,-0.0380,0.0140,0.19
0.808479,-0.1100,-0.0480,0.1200,0.17
0.816677,-0.1030,-0.0290,0.1620,0.19
0.826382,-0.0760,-0.0430,0.1620,0.18
0.844056,-0.1050,-0.0890,0.3180,0.35
0.846270,-0.1770,-0.0700,0.2390,0.31
0.858304,-0.2370,-0.0580,0.2960,0.38
0.875349,-0.1960,-0.0770,0.3680,0.42
0.877916,-0.1670,-0.0290,0.2840,0.33
0.891168,-0.0840,-0.0430,0.3060,0.32
0.896255,-0.0550,-0.0170,0.2340,0.24
0.907778,0.0020,0.0090,0.1890,0.19
0.916629,0.0070,-0.0470,0.2170,0.22
0.928552,-0.0180,-0.0300,0.2370,0.24
0.940533,-0.0800,0.0080,0.1550,0.17
0.948470,-0.0750,0.0050,0.1960,0.21
0.957934,-0.1080,0.0130,0.1260,0.17
0.972096,-0.1130,0.0220,0.1410,0.18
0.978145,-0.1560,0.0210,0.1170,0.20
0.997023,-0.1560,0.0210,0.1170,0.20
0.997641,-0.0940,0.0000,0.1600,0.19
1.009467,-0.0560,-0.0290,0.1550,0.17
1.023584,-0.0490,0.0000,0.1860,0.19
1.027896,-0.0800,0.0200,0.2030,0.22
1.038612,-0.0800,0.0200,0.2030,0.22
1.048279,-0.1360,-0.0220,0.3250,0.35
1.058009,-0.1240,-0.0630,0.3300,0.36
1.070747,-0.0910,-0.0130,0.2750,0.29
1.078317,-0.0980,0.0120,0.1980,0.22
1.089125,-0.0980,0.0120,0.1980,0.22
1.098700,-0.1270,-0.0060,0.1630,0.21
1.109011,-0.1270,-0.0060,0.1630,0.21
1.122977,-0.2130,-0.0340,0.2710,0.35
1.127832,-0.2030,-0.0510,0.2660,0.34
1.139837,-0.2030,-0.0510,0.2660,0.34
1.147857,-0.1910,-0.0790,0.3550,0.41
1.156695,-0.1910,-0.0790,0.3550,0.41
1.173097,-0.1670,-0.0340,0.2950,0.34
1.177876,-0.1890,0.0010,0.1420,0.24
1.189873,-0.1890,0.0010,0.1420,0.24
1.197654,-0.2590,-0.0060,0.1240,0.29
1.206708,-0.2590,-0.0060,0.1240,0.29
1.223092,-0.1590,-0.0350,0.2940,0.34
1.227657,-0.1330,0.0180,0.2630,0.30
1.240362,-0.1330,0.0180,0.2630,0.30
1.247257,-0.1690,-0.0290,0.1450,0.22
1.256642,-0.1690,-0.0290,0.1450,0.22
1.272179,-0.2740,-0.0610,0.1880,0.34
1.276982,-0.2930,-0.0220,0.1640,0.34
1.288337,-0.2930,-0.0220,0.1640,0.34
1.298202,-0.1760,-0.0560,0.2030,0.27
1.306867,-0.1760,-0.0560,0.2030,0.27
1.322985,-0.1710,-0.0680,0.2960,0.35
1.327276,-0.2230,-0.0580,0.3350,0.41
1.340303,-0.2230,-0.0580,0.3350,0.41
1.347500,-0.2660,-0.0390,0.1790,0.32
1.357308,-0.2660,-0.0390,0.1790,0.32
1.371194,-0.2350,-0.0480,0.1750,0.30
1.377097,-0.1770,-0.0170,0.2340,0.29
1.387867,-0.1770,-0.0170,0.2340,0.29
1.404398,-0.1290,-0.0400,0.2250,0.26
1.407241,-0.1670,-0.0830,0.3350,0.38
1.422237,-0.2000,-0.0920,0.3750,0.43
1.427189,-0.2270,-0.1420,0.3850,0.47
1.439779,-0.2270,-0.1420,0.3850,0.47
1.446911,-0.1090,-0.0700,0.3300,0.35
1.456767,-0.0570,-0.0530,0.2890,0.30
1.472045,-0.0250,0.0010,0.2920,0.29
1.477020,0.0160,0.0300,0.2820,0.28
1.489679,0.0160,0.0300,0.2820,0.28
1.496752,0.1220,0.0720,0.1510,0.21
1.506593,0.1240,0.0600,0.1340,0.19
1.521949,0.0740,0.0750,0.1180,0.16
1.526555,0.0260,0.0560,0.0990,0.12
1.537730,0.0260,0.0560,0.0990,0.12
1.546534,-0.0190,0.0250,0.1110,0.12
1.556418,-0.0600,0.0040,0.1110,0.13
1.569674,-0.0630,-0.0040,0.1310,0.15
1.576522,-0.0630,-0.0180,0.1860,0.20
1.586716,-0.0630,-0.0180,0.1860,0.20
1.596235,-0.1030,-0.0870,0.2840,0.31
1.606433,-0.1720,-0.0740,0.2770,0.33
1.620386,-0.1740,-0.0980,0.2560,0.32
1.627035,-0.1720,-0.1320,0.2340,0.32
1.637341,-0.1720,-0.1320,0.2340,0.32
1.646780,-0.1620,-0.0900,0.1520,0.24
1.656375,-0.1310,-0.0810,0.1400,0.21
1.671534,-0.1520,-0.0760,0.1230,0.21
1.676567,-0.1490,-0.0660,0.1520,0.22
1.686570,-0.1490,-0.0660,0.1520,0.22
1.702290,-0.1450,-0.0890,0.2160,0.27
1.710293,-0.1470,-0.0460,0.2710,0.31
1.719475,-0.0970,-0.0610,0.2500,0.28
1.743391,-0.1210,-0.0630,0.3400,0.37
1.743901,-0.1090,-0.0800,0.3880,0.41
1.757183,-0.0700,-0.0500,0.3780,0.39
1.757744,-0.0700,-0.0500,0.3780,0.39
1.770278,-0.0090,0.0020,0.3110,0.31
1.775969,0.0090,0.0110,0.2940,0.29
1.790792,0.0260,0.0350,0.3010,0.30
1.801925,0.0120,-0.0040,0.3290,0.33
1.806204,0.0500,0.0660,0.2530,0.27
1.817898,0.0740,0.0950,0.1620,0.20
1.826966,0.1290,0.1140,0.0800,0.19
1.836838,0.1290,0.1140,0.0800,0.19
1.855239,0.0720,0.1120,0.1570,0.21
1.855994,0.0450,0.0760,0.2500,0.27
1.871540,0.1170,0.0040,0.2740,0.30
1.876118,0.0960,-0.0140,0.3460,0.36
1.887990,0.0960,-0.0140,0.3460,0.36
1.904288,-0.0710,-0.0120,0.3150,0.32
1.906367,-0.1260,0.0420,0.2500,0.28
1.921026,-0.1220,0.0230,0.2190,0.25
1.926660,-0.0910,0.0180,0.1400,0.17
1.938059,-0.0910,0.0180,0.1400,0.17
1.953491,0.0320,0.0660,0.1470,0.16
1.956217,0.0150,0.0300,0.2380,0.24
1.970595,-0.0490,0.0180,0.3380,0.34
1.976461,-0.0800,-0.0330,0.3650,0.38
1.986400,-0.0800,-0.0330,0.3650,0.38
2.003712,-0.1660,-0.0480,0.3120,0.36
2.006487,-0.1570,-0.0240,0.2530,0.30
2.020349,-0.1450,0.0060,0.1400,0.20
2.026859,-0.0710,0.0400,0.0880,0.12
2.037526,-0.0710,0.0400,0.0880,0.12
2.053331,-0.0660,-0.0020,-0.1350,0.15
2.056226,-0.0760,-0.0220,-0.0760,0.11
2.070233,-0.1250,-0.0460,-0.0900,0.16
2.076749,-0.1440,-0.0630,-0.1130,0.19
2.086381,-0.1440,-0.0630,-0.1130,0.19
2.102437,-0.1570,-0.0470,-0.1510,0.22
2.106182,-0.1270,-0.0540,-0.0920,0.17
2.119666,-0.0680,-0.0130,-0.0630,0.09
2.126656,0.0010,-0.0200,-0.0770,0.08
2.137450,0.0010,-0.0200,-0.0770,0.08
2.153350,0.0570,-0.0170,-0.0850,0.10
