# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 15:13:41.115
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007240,-0.2150,-0.1310,-1.3450,1.37
0.020191,-0.2780,0.4360,-0.2440,0.57
0.021859,-0.3180,1.1730,0.7580,1.43
0.035526,-0.3180,1.1730,0.7580,1.43
0.043332,0.0800,1.5500,3.1670,3.53
0.054137,0.5200,1.4580,4.4470,4.71
0.066670,0.8650,1.5420,5.0700,5.37
0.072189,1.0510,1.5370,5.7340,6.03
0.082311,0.9840,1.6430,6.1450,6.44
0.091880,0.8800,1.7430,6.3230,6.62
0.102267,1.1320,1.7680,6.4130,6.75
0.123171,1.7510,1.4790,6.5200,6.91
0.123616,1.7510,1.4790,6.5200,6.91
0.135306,3.1800,0.6240,6.5330,7.29
0.142144,3.4200,0.2910,6.6110,7.45
0.151728,3.1510,0.1330,6.6500,7.36
0.166111,2.5280,0.1020,6.6640,7.13
0.171699,1.7170,0.2350,6.3460,6.58
0.183521,1.0310,0.4400,5.8640,5.97
0.191384,0.8050,0.5350,5.0920,5.18
0.202298,0.7780,0.6610,4.0160,4.14
0.218091,0.8200,0.8220,2.9790,3.20
0.222196,0.8960,0.9930,1.9600,2.37
0.237600,1.1820,0.9430,0.7820,1.70
0.241960,1.3660,0.7830,-0.4450,1.64
0.253471,1.4440,0.5870,-1.4750,2.15
0.271596,1.3540,0.4090,-2.3530,2.75
0.272089,1.3540,0.4090,-2.3530,2.75
0.286691,0.5820,0.1190,-3.8410,3.89
0.291945,0.1080,-0.2070,-4.4470,4.45
0.305001,0.1080,-0.2070,-4.4470,4.45
0.319109,-0.5560,-0.6000,-5.3080,5.37
0.321838,-1.3050,-0.9290,-6.4280,6.62
0.337929,-1.3050,-0.9290,-6.4280,6.62
0.341365,-1.5760,-1.1040,-7.3280,7.58
0.353178,-1.5760,-1.1040,-7.3280,7.58
0.370000,-1.6140,-1.2710,-7.7780,8.04
0.374057,-1.6140,-1.2710,-7.7780,8.04
0.386870,-1.6420,-1.2590,-7.8820,8.15
0.391506,-1.6840,-1.4300,-7.7690,8.08
0.404841,-1.6840,-1.4300,-7.7690,8.08
0.418228,-1.7700,-1.7400,-7.5050,7.90
0.421299,-1.8120,-1.8320,-7.1220,7.57
0.436992,-1.8120,-1.8320,-7.1220,7.57
0.441467,-1.7010,-1.8940,-6.1460,6.65
0.454052,-1.7010,-1.8940,-6.1460,6.65
0.468586,-1.4200,-1.7670,-4.8890,5.39
0.471236,-1.2410,-1.7330,-4.3300,4.83
0.486367,-1.2410,-1.7330,-4.3300,4.83
0.491350,-0.7130,-1.6130,-3.1370,3.60
0.503933,-0.7130,-1.6130,-3.1370,3.60
0.518012,-0.4340,-1.5170,-2.5750,3.02
0.535357,-0.1000,-1.2250,-1.5840,2.00
0.535861,-0.0820,-0.9260,-1.1670,1.49
0.541795,-0.1210,-0.5010,-0.7220,0.89
0.554242,-0.1210,-0.5010,-0.7220,0.89
0.569181,-0.2150,-0.0930,-0.2380,0.33
0.587385,-0.5300,0.8100,0.9080,1.33
0.587941,-0.5170,1.1580,1.7730,2.18
0.591312,-0.4270,1.4820,2.6760,3.09
0.605116,-0.4270,1.4820,2.6760,3.09
0.618882,0.3380,1.9410,4.4770,4.89
0.637358,0.9350,1.9230,5.1610,5.59
0.637968,1.4980,1.7880,5.8320,6.28
0.652472,1.9650,1.6650,6.1380,6.66
0.652989,1.9650,1.6650,6.1380,6.66
0.670238,1.6210,1.4600,6.0030,6.39
0.685929,0.6650,1.5410,5.7600,6.00
0.686501,-0.2410,1.4960,5.4380,5.65
0.704311,-0.7700,1.3490,5.1400,5.37
0.704886,-1.0750,1.2940,4.9190,5.20
0.719422,-1.1180,1.2010,4.6510,4.93
0.736966,-0.8290,1.0180,4.3670,4.56
0.737672,-0.5580,0.7880,3.8920,4.01
0.752484,-0.3770,0.4060,3.5260,3.57
0.753044,-0.3340,0.1200,3.0420,3.06
0.768854,-0.3740,-0.2210,2.4730,2.51
0.787739,-0.5200,-0.5170,1.7650,1.91
0.788339,-0.7210,-0.6380,0.8860,1.31
0.801782,-0.9360,-0.6460,-0.0220,1.14
0.802385,-0.9690,-0.5670,-1.0860,1.56
0.818969,-0.8130,-0.5400,-2.1000,2.32
0.836311,-0.6980,-0.4880,-3.1900,3.30
0.836952,-0.5660,-0.4200,-4.2980,4.36
0.851737,-0.4380,-0.4610,-5.2710,5.31
0.852351,-0.4380,-0.4610,-5.2710,5.31
0.868647,-0.3600,-0.5960,-6.8390,6.87
0.885399,-0.3870,-0.7210,-7.4370,7.48
0.886154,-0.5210,-0.8320,-7.7970,7.86
0.902293,-0.6190,-1.0020,-7.9550,8.04
0.902921,-0.7990,-1.1380,-7.9900,8.11
0.918550,-0.8220,-1.2730,-7.9390,8.08
0.936155,-0.8570,-1.3820,-7.8280,8.00
0.936769,-0.7910,-1.4780,-7.6910,7.87
0.952842,-0.7410,-1.5300,-7.6270,7.81
0.953452,-0.7100,-1.5760,-7.4960,7.69
0.968497,-0.6330,-1.6660,-7.3220,7.54
0.984758,-0.5420,-1.6950,-7.1820,7.40
0.985358,-0.5430,-1.6700,-6.9950,7.21
1.002541,-0.5880,-1.5540,-6.7120,6.91
1.003256,-0.5880,-1.5540,-6.7120,6.91
1.017883,-0.6290,-1.2020,-6.1770,6.32
1.035456,-0.7210,-1.0120,-5.6870,5.82
1.036137,-0.8490,-0.8680,-5.3370,5.47
1.052130,-0.9100,-0.7580,-4.9380,5.08
1.052819,-0.9100,-0.7580,-4.9380,5.08
1.063599,-0.8120,-0.6170,-3.7140,3.85
1.079339,-0.6720,-0.5510,-3.0040,3.13
1.083081,-0.4240,-0.5000,-2.3640,2.45
1.096184,-0.1640,-0.5660,-1.6670,1.77
1.103539,0.0600,-0.6110,-0.8320,1.03
1.111550,0.1770,-0.4930,-0.0210,0.52
1.122674,0.1190,-0.2780,0.6140,0.68
1.133295,0.1190,-0.2780,0.6140,0.68
1.144979,-0.5650,0.6210,1.7040,1.90
1.153033,-0.9410,1.0280,2.2100,2.61
1.161026,-0.9390,1.1970,2.8240,3.21
